Date,Open,High,Low,Close,Volume
06/07/2022,"303.81","310.67","302.69","309.87","44,900,289"
06/06/2022,"310.75","312.35","305.62","307.22","51,785,008"
06/03/2022,"309.03","310.47","304.92","306.20","60,914,680"
06/02/2022,"304.85","314.56","303.40","314.38","59,291,328"
06/01/2022,"310.47","312.65","303.73","306.00","65,341,648"
05/31/2022,"309.07","311.33","304.33","308.28","60,968,328"
05/27/2022,"302.54","309.25","302.42","309.10","66,985,602"
05/26/2022,"290.44","300.92","290.15","299.33","59,462,230"
05/25/2022,"285.71","293.39","285.50","291.26","67,144,555"
05/24/2022,"288.13","288.86","282.25","287.24","73,491,117"
05/23/2022,"289.75","293.87","287.29","293.48","63,648,398"
05/20/2022,"293.13","293.80","280.21","288.68","91,764,172"
05/19/2022,"289.29","294.39","287.58","289.58","79,920,711"
05/18/2022,"301.54","302.25","289.85","291.14","79,477,109"
05/17/2022,"304.45","306.56","300.55","306.17","62,715,289"
05/16/2022,"300.15","302.26","297.13","298.44","59,190,434"
05/13/2022,"295.72","303.00","294.08","301.94","83,684,930"
05/12/2022,"287.45","295.75","284.94","291.15","120,910,898"
05/11/2022,"298.44","304.09","290.95","291.84","140,326,094"
05/10/2022,"304.51","305.76","296.57","300.76","124,124,602"
05/09/2022,"303.48","309.35","295.72","297.15","113,387,297"
05/06/2022,"310.95","315.09","305.11","309.25","139,572,797"
05/05/2022,"325.17","325.25","309.62","313.00","154,607,391"
05/04/2022,"319.31","330.29","313.89","329.60","116,083,398"
05/03/2022,"318.50","321.17","315.98","318.82","78,185,531"
05/02/2022,"312.83","318.72","309.65","318.48","115,511,797"
04/29/2022,"323.70","327.23","312.60","313.25","91,977,859"
04/28/2022,"321.85","329.89","317.52","328.01","99,449,961"
04/27/2022,"317.24","322.88","315.00","316.76","111,204,203"
04/26/2022,"327.47","327.66","316.86","317.14","105,819,602"
04/25/2022,"323.73","329.90","322.43","329.58","101,755,906"
04/22/2022,"334.31","335.56","324.96","325.40","82,562,148"
04/21/2022,"345.19","347.87","333.20","334.15","75,801,008"
04/20/2022,"347.09","347.56","339.96","341.21","65,500,020"
04/19/2022,"338.03","346.85","336.98","346.26","56,515,680"
04/18/2022,"337.35","341.04","335.79","338.69","58,560,559"
04/14/2022,"346.44","346.97","338.21","338.43","73,519,367"
04/13/2022,"339.80","347.43","339.06","346.35","61,367,762"
04/12/2022,"345.76","347.69","338.04","339.45","72,790,227"
04/11/2022,"344.81","345.75","340.54","340.89","66,107,398"
04/08/2022,"352.32","353.09","348.50","349.15","61,956,090"
04/07/2022,"352.24","356.35","348.69","354.10","63,777,367"
