,Date,Open,High,Low,Close,Volume
125,07/03/2019,190.45,191.44,190.29,191.44,"15,792,070"
126,07/02/2019,189.19,190.03,188.66,190.01,"18,035,770"
127,07/01/2019,190.3,190.57,188.38,189.26,"31,193,391"
128,06/28/2019,186.95,187.15,186.07,186.74,"21,179,250"
129,06/27/2019,186.47,186.94,185.99,186.5,"19,709,230"
130,06/26/2019,186.13,187.33,185.49,185.79,"22,595,721"
131,06/25/2019,188.06,188.14,184.65,184.93,"33,921,113"
132,06/24/2019,188.52,188.72,188.06,188.16,"19,375,211"
133,06/21/2019,188.57,189.77,188.17,188.57,"39,980,422"
134,06/20/2019,189.72,189.76,187.16,188.85,"40,921,961"
135,06/19/2019,186.73,187.53,185.57,187.11,"31,672,859"
136,06/18/2019,185.88,187.72,185.43,186.41,"48,177,301"
137,06/17/2019,183.01,184.25,182.84,183.74,"20,379,480"
138,06/14/2019,182.44,183.11,181.94,182.64,"22,844,090"
139,06/13/2019,183.12,183.87,182.74,183.42,"23,715,830"
140,06/12/2019,182.88,183.28,182.0,182.34,"27,758,119"
141,06/11/2019,185.07,185.4,182.78,183.4,"41,260,320"
142,06/10/2019,182.23,184.85,182.21,183.15,"41,385,281"
143,06/07/2019,178.5,181.77,178.33,181.04,"45,888,352"
144,06/06/2019,176.52,178.04,175.73,177.61,"29,913,211"
145,06/05/2019,176.6,176.61,174.38,176.21,"34,412,699"
146,06/04/2019,171.98,174.97,171.37,174.91,"47,797,848"
147,06/03/2019,173.52,173.95,169.27,170.12,"75,842,289"
148,05/31/2019,174.71,175.29,173.87,173.95,"45,446,207"
149,05/30/2019,176.54,177.27,175.77,176.77,"30,354,789"
150,05/29/2019,176.45,177.0,175.09,176.03,"42,178,770"
151,05/28/2019,178.67,179.66,177.47,177.49,"24,763,820"
152,05/24/2019,179.3,179.85,177.94,178.16,"25,903,270"
153,05/23/2019,179.0,179.02,177.14,178.25,"45,351,312"
154,05/22/2019,180.81,182.07,180.75,181.02,"24,332,551"
155,05/21/2019,181.5,182.33,180.92,181.83,"31,613,789"
156,05/20/2019,180.51,181.18,179.34,179.95,"38,608,289"
157,05/17/2019,183.1,185.58,182.88,183.04,"44,702,281"
158,05/16/2019,183.11,186.07,182.95,184.93,"39,281,160"
159,05/15/2019,179.39,183.55,179.31,183.09,"40,944,551"
160,05/14/2019,179.51,181.63,178.86,180.54,"43,360,641"
161,05/13/2019,180.3,181.26,178.06,178.58,"67,185,766"
162,05/10/2019,184.06,185.89,181.03,185.0,"58,526,398"
163,05/09/2019,183.76,185.41,182.09,184.77,"55,351,672"
164,05/08/2019,185.68,187.17,184.96,185.77,"37,165,320"
165,05/07/2019,187.86,188.67,184.51,186.24,"58,818,129"
166,05/06/2019,187.1,190.2,186.76,189.94,"38,371,781"
167,05/03/2019,189.69,191.25,189.33,191.11,"30,386,180"
168,05/02/2019,188.88,189.85,186.87,188.11,"44,110,121"
169,05/01/2019,190.76,191.32,188.8,188.93,"34,797,113"
170,04/30/2019,189.48,189.85,188.21,189.54,"31,495,279"
171,04/29/2019,190.62,191.32,190.34,191.02,"21,716,240"
172,04/26/2019,190.2,190.69,188.59,190.65,"26,359,539"
173,04/25/2019,191.15,191.22,189.45,190.48,"29,517,500"
174,04/24/2019,190.44,190.71,189.65,189.71,"24,977,109"
175,04/23/2019,188.37,190.54,188.13,190.31,"33,665,559"
176,04/22/2019,186.54,187.99,186.43,187.92,"17,936,029"
177,04/18/2019,187.48,187.79,186.29,187.39,"28,580,859"
178,04/17/2019,187.75,187.93,186.6,187.15,"29,651,580"
179,04/16/2019,186.51,186.91,185.93,186.5,"27,195,711"
180,04/15/2019,185.81,186.07,184.62,185.86,"21,073,051"
181,04/12/2019,185.86,185.95,185.06,185.83,"24,989,141"
182,04/11/2019,185.77,185.78,184.69,185.03,"20,654,090"
183,04/10/2019,184.75,185.53,184.52,185.47,"24,562,961"
184,04/09/2019,184.5,185.11,184.09,184.48,"25,631,891"
185,04/08/2019,184.37,185.28,183.63,185.13,"22,697,539"
186,04/05/2019,184.3,184.77,184.02,184.66,"25,674,660"
